,url_link,title,hot,date
0,https://www.ptt.cc/bbs/KoreaDrama/M.1624361068.A.E78.html,[LIVE] tvN《某一天滅亡來到我家門前》EP14,爆,06/22
1,https://www.ptt.cc/bbs/KoreaDrama/M.1441025983.A.233.html,[置底] 韓劇「求、推薦區」,爆,08/31
2,https://www.ptt.cc/bbs/KoreaDrama/M.1623341856.A.09F.html,[置底] 6月難以發文討論之「閒聊區」端午快樂,爆,06/11
3,https://www.ptt.cc/bbs/KoreaDrama/M.1624274094.A.097.html,[LIVE] tvN《某一天滅亡來到我家門前》EP13,爆,06/21
4,https://www.ptt.cc/bbs/KoreaDrama/M.1624103342.A.21E.html,[LIVE] TV朝鮮 《婚詞離曲第二季》EP3-4,爆,06/19
5,https://www.ptt.cc/bbs/KoreaDrama/M.1624107359.A.6DC.html,[LIVE] Voice4 EP2,爆,06/19
6,https://www.ptt.cc/bbs/KoreaDrama/M.1624110842.A.C60.html,[LIVE] JTBC 雖然知道/無法抗拒的他 EP01,爆,06/19
7,https://www.ptt.cc/bbs/KoreaDrama/M.1624182457.A.4EC.html,[新聞] 被日劇養大的我們，如今愛上直入人心的韓,爆,06/20
8,https://www.ptt.cc/bbs/KoreaDrama/M.1624200980.A.B5A.html,[閒聊] 期待推出續集一定會想看的韓劇,爆,06/20
9,https://www.ptt.cc/bbs/KoreaDrama/M.1624018800.A.8E5.html,[LIVE] SBS Penthouse/上流戰爭 S3 EP03,爆,06/18
10,https://www.ptt.cc/bbs/KoreaDrama/M.1624021206.A.D72.html,[LIVE] Voice4 EP1,爆,06/18
11,https://www.ptt.cc/bbs/KoreaDrama/M.1623849511.A.426.html,[LIVE] tvN 我的室友是九尾狐 EP07,爆,06/16
12,https://www.ptt.cc/bbs/KoreaDrama/M.1623851258.A.534.html,[閒聊] 看幾集決定棄劇？,爆,06/16
13,https://www.ptt.cc/bbs/KoreaDrama/M.1623929870.A.1DA.html,[LIVE] tvN 《機智醫生生活 S2》EP.1,爆,06/17
14,https://www.ptt.cc/bbs/KoreaDrama/M.1623936516.A.6CA.html,[LIVE] tvN 我的室友是九尾狐 EP08,爆,06/17
15,https://www.ptt.cc/bbs/KoreaDrama/M.1623669231.A.A56.html,[LIVE] tvN《某一天滅亡來到我家門前》 EP11,爆,06/14
16,https://www.ptt.cc/bbs/KoreaDrama/M.1623669425.A.B48.html,[LIVE] 這區域的瘋X/不瘋不狂不愛你 EP10-12,爆,06/14
17,https://www.ptt.cc/bbs/KoreaDrama/M.1623756054.A.F1E.html,[LIVE] tvN《某一天滅亡來到我家門前》EP12,爆,06/15
18,https://www.ptt.cc/bbs/KoreaDrama/M.1623578298.A.3A9.html,[閒聊] 讓人欲罷不能想要一口氣看完的韓劇,爆,06/13
19,https://www.ptt.cc/bbs/KoreaDrama/M.1623594312.A.30F.html,[閒聊] 大家會找以前看過的劇二刷嗎？,爆,06/13
20,https://www.ptt.cc/bbs/KoreaDrama/M.1623411914.A.B97.html,[求薦] 請推薦有點愛情線的質感或懸疑韓劇,爆,06/11
21,https://www.ptt.cc/bbs/KoreaDrama/M.1623413889.A.873.html,[LIVE] SBS Penthouse/上流戰爭 S3 EP02,爆,06/11
22,https://www.ptt.cc/bbs/KoreaDrama/M.1623417635.A.719.html,[LIVE] JTBC Undercover EP15,爆,06/11
23,https://www.ptt.cc/bbs/KoreaDrama/M.1623497907.A.5A8.html,[LIVE] tvN Mine/我的上流世界 EP11-12,爆,06/12
24,https://www.ptt.cc/bbs/KoreaDrama/M.1623504254.A.950.html,[LIVE] JTBC Undercover EP16 最終話,爆,06/12
25,https://www.ptt.cc/bbs/KoreaDrama/M.1623324966.A.180.html,[LIVE] 大發不動產 (特輯),爆,06/10
26,https://www.ptt.cc/bbs/KoreaDrama/M.1623331783.A.6DE.html,[LIVE] tvN 我的室友是九尾狐 EP06,爆,06/10
27,https://www.ptt.cc/bbs/KoreaDrama/M.1623332095.A.032.html,[情報] tvN六月新劇《機智醫生生活 第二季》,爆,06/10
28,https://www.ptt.cc/bbs/KoreaDrama/M.1623217009.A.E45.html,[閒聊] 願意一直重刷的劇,爆,06/09
29,https://www.ptt.cc/bbs/KoreaDrama/M.1623237502.A.5D4.html,[LIVE] JTBC Law School EP16 最終回,爆,06/09
